GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community_Converted,Community,Continuous Integration_Converted,Continuous Integration,Documentation_Converted,Documentation,History_Converted,History,Issues_Converted,Issues,License_Converted,License,Unit Testing_Converted,Unit Testing,ComplexContainerComprehension,ComplexLambdaExpression,LargeClass,LongBaseClassList,LongMessageChain,LongMethod,LongParameterList,LongScopeChaining,LongTernaryConditionalExpression,MultiplyNestedContainer,Normalized_ComplexContainerComprehension,Normalized_ComplexLambdaExpression,Normalized_LargeClass,Normalized_LongBaseClassList,Normalized_LongMessageChain,Normalized_LongMethod,Normalized_LongParameterList,Normalized_LongScopeChaining,Normalized_LongTernaryConditionalExpression,Normalized_MultiplyNestedContainer,Architecture_Converted
1989ryan/semantic_slam,N,100,117,9443,The source code of the project exists as ad-hoc scripts,0,There are no contributors to the project other than the author.,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,0,The author of the project does not reply to issues or close them.,1,https://github.com/1989Ryan/Semantic_SLAM/blob/master/LICENSE is provided.,1,Only 1 file related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
advboxes/advbox,N,907,370,10255,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/advboxes/AdvBox/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented but there are tutorials py files,0.0,No evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/advboxes/AdvBox/issues/43 and https://github.com/advboxes/AdvBox/issues/17",1,https://github.com/advboxes/AdvBox/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
aisolab/nlp_classification,N,176,383,5626,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files,1,https://github.com/aisolab/nlp_classification/graphs/contributors shows that there are multiple contributors but mainly 1,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,0.0,No evidence of sustained commit activity,1,"Only 2 issues, 1 open, 1 closed",1,https://github.com/aisolab/nlp_classification/blob/master/LICENSE is provided.,1,1 test file for each project,119.0,114.0,62.0,51.0,1340.0,641.0,641.0,45.0,35.0,455.0,0.0368421052631579,0.0848214285714285,0.0071643170788074,0.0059089329162321,0.0427391318215162,0.0311906963164809,0.0311906963164809,0.0237592397043294,0.0381679389312977,0.01022701730726,14
amansrivastava17/embedding-as-service,N,116,373,9037,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/amansrivastava17/embedding-as-service/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1.0,Evidence of sustained commit activity,0,Do reply to issues last time but not recently,1,https://github.com/amansrivastava17/embedding-as-service/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
bethgelab/siamese-mask-rcnn,N,218,174,8081,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/matterport/Mask_RCNN/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,0.0,No evidence of sustained commit activity,1,Open issues more than closed,1,https://github.com/matterport/Mask_RCNN/blob/master/LICENSE is provided.,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
black0017/medicalzoopytorch,N,189,113,6096,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/black0017/MedicalZooPytorch/graphs/contributors shows that there are multiple contributors,0,CI is not used on the project.,1,There is a well-maintained documentation,1.0,Evidence of sustained commit activity,1,"The project maintainers respond to issues, as evidenced by https://github.com/black0017/MedicalZooPytorch/issues/3 and https://github.com/black0017/MedicalZooPytorch/issues/4",1,https://github.com/black0017/MedicalZooPytorch/blob/master/LICENSE.md is provided.,1,There are many files related to testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
danielhanchen/hyperlearn,N,1166,204,5557,The source code of this project has been organised into different modules in a way that shows the relationship between different files,1,https://github.com/danielegrattarola/spektral/graphs/contributors only has 2 contributers,0,CI is not used on the project.,0,Most of the functions in the source code are not documented.,1.0,Checking https://github.com/danielhanchen/hyperlearn/pulse/monthly there has only been 1 commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/danielhanchen/hyperlearn/issues/20",1,https://github.com/danielhanchen/hyperlearn/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
dsgiitr/d2l-pytorch,N,3210,187,4989,The source code of the project exists as ad-hoc scripts,1,https://github.com/dsgiitr/d2l-pytorch/graphs/contributors shows that there are only 2 contributors.,0,CI is not used on the project.,1,There is a well maintained README,1.0,Checking https://github.com/dsgiitr/d2l-pytorch/pulse/monthly there has been only 1 commit activity in the past month.,1,"The project maintainers hardly respond to issues, as evidenced by https://github.com/dsgiitr/d2l-pytorch/issues",1,https://github.com/dsgiitr/d2l-pytorch/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
dwadden/dygiepp,N,114,379,5425,The source code of the project exists as ad-hoc scripts,1,https://github.com/dwadden/dygiepp/graphs/contributors shows that there are only 2 contributors.,0,CI is not used on the project.,1,There is a well maintained README and majority of the function in https://github.com/dwadden/dygiepp/blob/master/dygie/commands/predict_dygie.py,1.0,Checking https://github.com/dwadden/dygiepp/pulse/monthly there has been only 4 commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/dwadden/dygiepp/issues/13",0,"There is no license to be found, either in the form of a license file or written as comments in the source code files",1,There are many files related to testing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
eladhoffer/convnet.pytorch,N,240,159,4784,The source code of the project exists as ad-hoc scripts,1,https://github.com/eladhoffer/convNet.pytorch/graphs/contributors shows that there are only 2 contributors.,0,CI is not used on the project.,1,There is a well maintained README and majority of the function in https://github.com/eladhoffer/convNet.pytorch/blob/master/autoaugment.py,1.0,Checking https://github.com/eladhoffer/convNet.pytorch/pulse/monthly there has been only 1 commit activity in the past month.,1,"The project maintainers respond to issues, as evidenced by https://github.com/eladhoffer/convNet.pytorch/issues/18",1,https://github.com/eladhoffer/convNet.pytorch/blob/master/LICENSE is provided,0,There is no evidence of any testing done on the project.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
